CODIGO,DETALLE,DETALLE_E1,DETALLE_E2,RUBRO,PROVEEDOR,UNIDAD,SERIAL_NUM,EXP_DATE,CODIGO_D_R,COSTO,PRECIO_1,PORCENT_1,PRECIO_2,PORCENT_2,PRECIO_3,PORCENT_3,PRECIO_4,PORCENT_4,PRECIO_5,PORCENT_5,PROMO,PROMOPRICE,PROMOSTART,PROMOEND,COMM_TYPE,COMM,COMM_MAX,EXISTENCIA,MINIMO,MAXIMO,PUN_PEDIDO,TASA_IVA,IT_TIPO,IT_POR_MON,TAX_1,TAX_2,TAX_3,TAX_4,TAX_5,BALANZA,TYPE,OBS,VIEW_OBS,SERVICE,CUSTOM_1,CUSTOM_2,CUSTOM_3,CUSTOM_4,CUSTOM_5,CUSTOM_6,IMAGE,IMAGEVIEW,MONEDA,KIT_C_PROD,COD_BARRA,TLABEL,CREADO,MODIFICADO,USE_CP_KIT,EXIS_SUC1,EXIS_SUC2,EXIS_SUC3,EXIS_SUC4,EXIS_SUC5,EXIS_SUC6,EXIS_SUC7,EXIS_SUC8,EXIS_SUC9,EXIS_SUC10,VEN_SUC1,VEN_SUC2,VEN_SUC3,VEN_SUC4,VEN_SUC5,VEN_SUC6,VEN_SUC7,VEN_SUC8,VEN_SUC9,VEN_SUC10,COMER_E
613            ,BASTIDOR OVAL 28                        ,                                        ,                                        ,BASTIDORES Y BASES            ,0000000001,     ,.F.,.F.,0000000000,0,3493,0,0,0,0,0,0,0,0,0,.F.,0,26/09/2020,26/09/2020,2,0,0,999,1,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,30/10/2017,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
614            ,CINTA CALA                              ,                                        ,                                        ,CINTAS                        ,0000000001,     ,.F.,.F.,0000000000,0,660,0,0,0,0,0,0,0,0,0,.F.,0,29/10/2020,29/10/2020,2,0,0,"980,2",10,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,29/10/2020,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
615            ,CINTA DAISY                             ,                                        ,                                        ,CINTAS                        ,0000000001,     ,.F.,.F.,0000000000,0,674,0,0,0,0,0,0,0,0,0,.F.,0,29/10/2020,29/10/2020,2,0,0,993,10,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,29/10/2020,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6154414703249  ,BRILLOS Y FORMAS                        ,                                        ,                                        ,ARTISTICA                     ,0000000001,     ,.F.,.F.,0000000000,0,2778,0,0,0,0,0,0,0,0,0,.F.,0,24/06/2023,24/06/2023,2,0,0,993,2,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,28/05/2023,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6154414703263  ,BRILLOS EN CAJA                         ,                                        ,                                        ,ARTISTICA                     ,0000000001,     ,.F.,.F.,0000000000,0,5095,0,0,0,0,0,0,0,0,0,.F.,0,24/06/2023,24/06/2023,2,0,0,93,2,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,24/06/2023,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6157           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,541,0,0,0,0,0,0,0,0,0,.F.,0,18/01/2020,18/01/2020,2,0,0,51,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6158           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,473,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,100,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
616            ,FLOR PAPEL CHICA                        ,                                        ,                                        ,MODA FLOR PAPEL               ,0000000001,     ,.F.,.F.,0000000000,0,246,0,0,0,0,0,0,0,0,0,.F.,0,21/09/2020,21/09/2020,2,0,0,981,1,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,30/10/2017,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6160           ,CADENA ALUMINIO LABRADA                 ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,1961,0,0,0,0,0,0,0,0,0,.F.,0,19/04/2021,19/04/2021,2,0,0,77,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,19/04/2021,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6161           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,6236,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,94,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,11/9/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6163           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,2103,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,83,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6167           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,2931,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,100,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6168           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,2363,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,60,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
617            ,FLOR PAPEL MEDIANA                      ,                                        ,                                        ,MODA FLOR PAPEL               ,0000000001,     ,.F.,.F.,0000000000,0,349,0,0,0,0,0,0,0,0,0,.F.,0,21/09/2020,21/09/2020,2,0,0,1000,1,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,30/10/2017,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6175           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,1000,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,10,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
618            ,FLOR PAPEL GRANDE                       ,                                        ,                                        ,MODA FLOR PAPEL               ,0000000001,     ,.F.,.F.,0000000000,0,1304,0,0,0,0,0,0,0,0,0,.F.,0,21/09/2020,21/09/2020,2,0,0,951,1,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,30/10/2017,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6180           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,4800,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,90,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6181           ,CADENA ALUMINIO                         ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,4248,0,0,0,0,0,0,0,0,0,.F.,0,11/7/2022,11/7/2022,2,0,0,87,2,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,11/7/2022,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
6183           ,CADENA Moda                             ,                                        ,                                        ,CADENAS                       ,0000000001,     ,.F.,.F.,0000000000,0,1614,0,0,0,0,0,0,0,0,0,.F.,0,12/4/2018,12/4/2018,2,0,0,100,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,12/4/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
